,UID,name,rating,brewery,style,abv
123,50,Oat - Bourbon Barrel-Aged,4.19,Southern Tier Brewing Company,American Imperial Stout,12.60
124,10,Palo Santo Marron,3.39,Dogfish Head Craft Brewery,American Brown Ale,12.00
125,155,Plank'd,3.0,Avery Brewing Company,American Imperial Porter,16.00
126,266,Porcine Unidragon,4.24,Clown Shoes,American Imperial Stout,12.50
127,18,Samoa This (Blackwater Series),4.21,Southern Tier Brewing Company,American Imperial Stout,10.00
128,266,South Pacific Imperial Breakfast Porter,3.9,Latitude 42 Brewing Company,American Imperial Porter,8.40
129,145,Super Duper Stout,3.36,Evil Twin Brewing,American Imperial Stout,11.00
130,266,T.O.R.I.S. The Tyrant,4.2,Hoppin' Frog Brewery,Russian Imperial Stout,13.80
131,266,Tart Side Of The Moon,4.1,Brewery Vivant,American Wild Ale,9.50
132,12,Ten FIDY - Bourbon Barrel Aged,4.75,Oskar Blues Grill & Brew,Russian Imperial Stout,12.90
133,66,Totalitarian,4.0,Stone Brewing,Russian Imperial Stout,10.50
134,266,Træblod,4.37,Mikkeller Brewing San Diego,American Imperial Stout,11.00
135,3,Untitled Art / Listermann Brewing - Wisconsin Stout,8.44,Untitled Art,American Imperial Stout,10.00
136,18,Willettized Coffee Stout,4.31,Lagunitas Brewing Company,American Imperial Stout,12.90
137,266,Woodrunner Whisky Stout,4.04,Kingsville Brewery,American Stout,6.70
138,266,Xbeeriment #44 - Whisky Barrel Edition,3.7,Xbeeriment I/S,American Stout,7.70
139,266,3 Scrooges,3.47,Griffin Claw Brewing Company,Winter Warmer,6.50
140,95,Arabicadabra,4.25,Bell's Brewery - Eccentric Café & General Store,English Sweet / Milk Stout,5.50
141,123,Barbary Coast,3.19,Almanac Beer Co.,American Imperial Stout,10.00
142,266,Beer Geek Vanilla Maple Shake,4.09,Mikkeller ApS,American Imperial Stout,13.00
143,36,Black Albert,4.29,De Struise Brouwers,Russian Imperial Stout,13.00
144,266,Blackbeard's Breakfast,4.38,Heavy Seas Beer,American Imperial Porter,10.00
145,113,Blaecorn Unidragon,4.04,Clown Shoes,Russian Imperial Stout,12.50
146,230,Boffo Brown Ale,3.83,Dark Horse Brewing Company,English Brown Ale,7.00
147,266,Cerise Stout Impériale,4.25,DESTIHL Brewery,American Imperial Stout,11.00
148,95,Cherry Stout - Whiskey Barrel-Aged,4.49,Bell's Brewery - Eccentric Café & General Store,American Imperial Stout,9.30
149,77,Christmas Bomb!,4.26,Prairie Artisan Ales,American Imperial Stout,13.00
150,266,Cooper Project No. 3: Barrel-Aged Porter,4.4,Goose Island Beer Co.,American Imperial Porter,8.30
151,266,Crasher In The Rye 2017,4.49,Clown Shoes,English Oatmeal Stout,11.50
152,266,D's Nuts,3.75,To Øl,English Oatmeal Stout,12.00
153,266,Dr. Thrillride,3.96,Short's Brewing Company,American Porter,5.00
154,120,Eliot Ness,4.35,Great Lakes Brewing Co.,Vienna Lager,6.10
155,68,Even More Coco Jesus,4.29,Evil Twin Brewing,American Imperial Stout,12.00
156,25,Even More JCs,4.36,Evil Twin Brewing,American Imperial Stout,12.00
157,266,Firestarter Chipotle Porter,3.85,Right Brain Brewery,American Porter,5.90
158,216,Flying Buffalo - Bourbon Barrel-Aged,4.25,Griffin Claw Brewing Company,American Imperial Stout,12.00
159,80,Hazel's Nuts,3.79,Odd Side Ales,American Imperial Stout,11.00
160,266,Imperial Russian Stout - Chai-Spiced,3.34,Stone Brewing,Russian Imperial Stout,10.60
161,266,Love Shadow,4.4,Brewery Vivant,American Imperial Stout,11.70
162,109,Mephistopheles' Stout,5.0,Avery Brewing Company,American Imperial Stout,14.60
163,266,Mini Growler,4.02,Westbrook Brewing Co.,Russian Imperial Stout,10.50
164,266,Pecan Pie Porter (2017),4.21,Clown Shoes,American Imperial Porter,10.50
165,266,Perrin Malted Milk Ball Imperial Porter,4.49,Perrin Brewing Co.,American Imperial Porter,12.00
166,53,Rolling Thunder Imperial Stout,4.37,Rogue Ales,Russian Imperial Stout,11.20
167,266,Short's Carob Stout,2.84,Short's Brewing Company,American Stout,6.40
168,53,Siracusa Nera,4.08,Dogfish Head Craft Brewery,Russian Imperial Stout,10.00
169,266,Siren Noire Imperial Chocolate Stout,4.1,Heavy Seas Beer,American Imperial Stout,9.50
170,239,So Happens It's Tuesday,3.74,The Bruery,American Imperial Stout,14.60
171,266,Speedcult Black Lager,3.91,Short's Brewing Company,German Schwarzbier,4.00
172,123,Stillwater / Casita Cerveceria - On Fleek,4.03,Stillwater Artisanal Ales,American Imperial Stout,13.00
173,14,Sunday Morning Stout,4.25,Weyerbacher Brewing Co.,American Imperial Stout,12.70
174,196,The Czar,3.81,Avery Brewing Company,Russian Imperial Stout,10.10
175,11,The Nightman Leaveth,4.33,Odd Side Ales,English Sweet / Milk Stout,11.00
176,266,Total Eclipse Breakfast Stout,4.25,Maumee Bay Brewing Company,American Imperial Stout,9.10
177,143,Trip In The Woods: Cocoa Coconut Narwhal,4.23,Sierra Nevada Brewing Co.,American Imperial Stout,11.90
178,71,Triple Barrel Big Bad Baptist,4.25,Epic Brewing Company,American Imperial Stout,11.20
179,80,Uncle Jacob's Stout,4.48,Avery Brewing Company,American Imperial Stout,14.90
